"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location type","SpatialDimValueCode","Location","Period type","Period","Value"
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2023,320000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2022,320000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2021,320000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2020,320000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2015,3e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2010,250000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2005,190000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","AGO","Angola","Year",2000,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2023,81000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2022,82000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2021,82000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2020,82000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2015,85000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2010,94000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2005,1e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BDI","Burundi","Year",2000,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","BEN","Benin","Year",2023,68000
